video_id,title,upload_date,n_windows,speech_s,parody_flag,song_flag,recitation_flag,film_flag,film_related_core,contemporary_only,matched_parody,matched_song,matched_recitation,matched_film_clip,matched_film_related_core,matched_keywords
4BE3O130ubk,伍允龍響佢第1部做主角嘅《惡戰》裡頭扮演馬永貞，同陳觀泰72年飾演嗰個點比？,20240601,6,60.26,0,0,0,0,0,1,,,,,,
4Eyz895ZCwE,林作vs李龍基：寸你前女友嫁人，攬你裕美過日辰,20240329,4,79.84,0,0,0,1,0,0,,,,李龍基,,film_clip:李龍基
4FiG0IQi__Y,【廣東話講呢啲】做雞出處 - 原來「做雞」唔關「雞」事！,20220919,5,79.52,0,0,0,0,0,1,,,,,,
4YsyGfojh30,【何詩蓓惡搞何鯊蓓】改下名移燈換凳，呢個名注定封神,20240803,3,57.05,1,0,0,0,0,0,惡搞,,,,,parody:惡搞
4bPrey4Dpqo,《尋找他留鬚的故事1》：李小龍出席嘉禾72新春團拜,20240224,8,215.68,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
4fkaKsVNx9I,【聽林子祥、葉蒨文《選擇》-人生有感】選擇一起單方面，出於蒙蔽禍害延；選擇一起雙方面，一生面對大挑戰,20250628,11,81.79,0,0,0,0,0,1,,,,,,
4iTUm1J-v0Q,【鄭少秋見證「犀利平」杜平至犀利時刻】有水有水，冇水冇水；要水過水，冇水散水,20250201,12,186.74,0,0,0,0,0,1,,,,,,
4kMF-rVbqAc,【廣東話講呢啲】滑劣劣、滑捋捋、滑嘟嘟 - 邊個至滑？,20220815,24,335.04,0,0,0,0,0,1,,,,,,
4mGjUrWl1mg,【油罐咖啡廳】蔗渣價錢非凡感，消閑極致此中尋,20240620,5,66.69,0,0,0,0,0,1,,,,,,
4n7T0KeQohU,【倪匡的人生總結(上集)】此生將盡，兩句話可以概括，曰：七八十年皓皓粼粼無為日，五六千萬炎炎詹詹荒唐言,20220706,12,176.42,0,0,0,0,0,1,,,,,,
4wZ7DlNlsc0,伍允龍響部陣容鼎盛嘅《惡戰》裡頭打到飛起，部戲都會「仆街」嘅？,20240601,7,163.07,0,0,0,0,0,1,,,,,,
506blxP58ts,點解叫「屁股」做「籮柚」同「八月十五」？,20220906,9,90.85,0,0,0,0,0,1,,,,,,
5AOk21eO0qQ,【兔年祈福至堅我，祝願邊個夠我多】,20230120,10,89.02,0,0,0,0,0,1,,,,,,
5AZhNz5cx2U,【大澳邊陲奇石-人生有感】驟看似亂石一堆，細看似另有玄虛；命途遇上絆腳石，一齣現實考驗劇,20250527,4,44.5,0,0,0,0,0,1,,,,,,
5LoulL1GewE,獅子山航拍：港人獅山情意結，不亢不卑不屈折,20240406,4,32.45,0,0,0,0,0,1,,,,,,
5RR0aZa2rYA,YS2b1 《耐人寻味》 同场加映,20211231,16,303.04,0,0,0,0,0,1,,,,,,
5T2Qgn2fXJQ,【生命不在乎得到什麼，只在乎做過什麼】黄家駒這金句怎樣生成(下),20220605,13,140.48,0,0,0,0,0,1,,,,,,
5V8WhI7pCx8,陳百強1982年憑《今宵多珍重》踏上青雲路,20241109,19,174.34,0,0,0,0,0,1,,,,,,
5X3tKt091aE,【聽林子祥、盧冠廷、劉德華、張國榮《最愛是誰》-人生有感】愛到分離沒有愛，男女要有這氣概；愛到分離仍有愛，自己對方同受害,20250627,11,133.44,0,0,0,0,0,1,,,,,,
5_K4QNe6E6o,【《哀我悼我黃家駒》】紀念黃家駒60歲冥壽；蘇東坡【水調歌頭】版；【光輝歲月】鋼琴伴白；但願歌長留，曲續未了緣,20220602,14,73.89,0,0,0,0,0,1,,,,,,
5cfJTCXcEw0,【點撳住年青人把慾火】日本羽毛球女神「志田千陽」同「華仔」教路,20240830,4,96.15,0,0,0,0,0,1,,,,,,
5hG8TnYMs60,【曾江教你點同老伴相處】我愛春花和秋月，也愛夏日和冬雪,20220511,24,194.9,0,0,0,0,0,1,,,,,,
5ihVDACK8xo,【粤语朗读】《生查子•元夕》宋 欧阳修；附译文、评析；应景！,20220215,5,100.42,0,0,0,0,0,1,,,,,,
5j651zUx6q4,【連曾志偉都未必想睇返嘅片】當年嘅曾志偉就係張柏芝口中嘅「死茄哩啡」,20240917,17,112.58,0,0,0,0,0,1,,,,,,
5o1doRRWOUA,【口輕輕、下巴輕輕】點解咁講?,20220828,6,57.6,0,0,0,0,0,1,,,,,,
5p4bNH4gnH0,「阿哥哥小姐」黎愛蓮 Irene Ryder 大騷 A Go Go 舞技；仲有好細路女嘅對白,20240913,5,119.74,0,0,0,0,0,1,,,,,,
5wSWQYFvHwk,【《滕王閣序》王勃】落霞與孤鶩齊飛，秋水共長天一色,20250917,4,51.23,0,0,0,0,0,1,,,,,,
5y6wjeJR5Cg,【GOD Translate 神翻譯(2)】「腸仔包」譯做「Intestinal Pouch」,20241203,3,47.2,0,0,0,0,0,1,,,,,,
6-mh40eytMI,【李小龍至型仔Look】至鍾意呢副「黑超」！,20250715,4,47.19,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
67euLhPd3ro,【萬人迷林鳳《星馬風光1959》】17歲卜卜脆薛家燕同33歲英俊瀟灑曾江「站台」,20241016,3,34.62,0,0,0,1,1,0,,,,林鳳,林鳳,film_clip:林鳳
6DmMwkK_tSo,【千祈千祈千祈，洗手洗手洗手】好心董建華夫人，沙士落區教市民；千祈三次要洗手，淪為笑柄冇你修,20221015,5,85.2,0,0,0,0,0,1,,,,,,
6E6uYzwHRcg,【曾江教你如何看待老】,20220510,28,196.63,0,0,0,0,0,1,,,,,,
6IsyZ4tTrp8,《今時今日神州大地》同人唔同命；同遮唔同柄,20240419,4,29.79,0,0,0,0,0,1,,,,,,
6SwkF4lY6gI,睇10歲嘅李小龍幾咁有「雷氣」！,20250221,14,183.1,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
6b_trwoU-Bs,【李小龍的Be Water名言】盲人追兇(Longstreet) 中的版本[附中英字幕],20240822,5,70.05,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
6klshR-YtEw,【鍾玲玲《心有千千結》】蕭芳芳在電影《窗》中飾演的先天盲女最終得以重見光明,20241001,19,181.76,0,0,0,0,0,1,,,,,,
6kxnMsvfArE,【Tai chi in Hong Kong】養生太極在沙田，常耍益壽又延年；楊氏85式太極拳,20230219,6,76.35,0,0,0,0,0,1,,,,,,
6qI6TJvLEFI,【《偶爾憶起黃家駒》】徐志摩《偶然》版；【光輝歲月】結他伴白,20220620,9,59.84,0,0,0,0,0,1,,,,,,
6qbasnLUeLs,"【李小龍逝世52周年(20-7-2025)】小龍，常時記著你(Bruce Lee, remember you always)",20250719,10,106.42,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
6rmTqvCtEuM,【粵語朗讀】《再別康橋》佳句 徐志摩,20220207,3,28.96,0,0,1,0,0,0,,,朗讀,,,recitation:朗讀
6zVyUvw0JfU,【日本世杯外圍賽血洗中國7：0】要講做「從速收皮」先啱！,20240910,6,177.24,0,0,0,0,0,1,,,,,,
7CGgQCUOJbw,【好懷念琴姐嗰句口頭禪「嫲嫲喺大廳」】嫲嫲仲有金句未出街,20240810,3,51.49,0,0,0,0,0,1,,,,,,
7LuAjOjXab4,【大澳舊貌重現-人生有感】東方有個威尼斯，坐落大澳耐歷史；雨打風吹雷電降，捍衛家園不投降,20250829,5,79.74,0,0,0,0,0,1,,,,,,
7MLzvAy3CuM,【十下十下(2)】10個「性行為」嘅香港人叫法(冇粗口字),20240602,11,25.57,0,0,0,0,0,1,,,,,,
7N9pz7fZQ4E,【巴黎奧運何詩蓓未能如願可奪金】你的付出全港知，如何也鼎力支持,20240801,5,64.7,0,0,0,0,0,1,,,,,,
7U3LKpXaBds,李小龍個乳名點解叫「細鳳」唔叫「細龍」,20240215,5,98.88,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
7ZDZVThmWfA,【太極、四川變臉以及各家武術表演】陳勵雄師傅72壽誕、骨質研究太極班暨同學會26周年晚宴,20241126,8,72.42,0,0,0,0,0,1,,,,,,
7kWXOgdcn4c,【宏福苑大火-收風立拆網，無私顯見私】世紀慘案待徹查，不分大細你我他；望冤魂早登天界，受災家人早釋懷,20251130,5,73.86,0,0,0,0,0,1,,,,,,
7qisH4fL9qY,【《歲月神偷》歲月輕狂(鋼琴版)】《歲月神偷》編劇、導演 羅啟銳先生走了！一路好走！,20220705,2,8.96,0,0,0,0,0,1,,,,,,
7uMXWgvf_IU,【蔣志光、韋綺姍唱《相逢何必曾相識》】兼唱「羅樂林燒衣版」「 Big Mac 版」,20260330,10,216.38,0,0,0,0,0,1,,,,,,
83ipAZp4hr8,【林鳳同舞王修胡楓、李小龍堂姐夫俞明大跳「扭腰舞」】扭身扭勢籮柚西，衛道之士冇眼睇；扭腰擺臀非失禮，跳出纖腰好美麗,20241028,3,28.7,0,0,0,1,1,0,,,,李小龍|林鳳,李小龍|林鳳,film_clip:李小龍|林鳳
88h7OzVLzeI,《再會康橋》—徐志摩《再別康橋》反向版,20260713,11,95.22,0,0,0,0,0,1,,,,,,
8G6DH4n9U9Y,【「達哥」胡說八道「截拳道」】知的不是道，明的不是道；有的不是道，無的才是道,20250716,4,79.67,0,0,0,0,0,1,,,,,,
8fXeD7pKbWI,【人生有感】天上架起一堵牆，無阻有志天翱翔；雲牆雖厚總會散，又過山峯又過灘,20260128,3,28.61,0,0,0,0,0,1,,,,,,
8jJY637fQik,李小龍當年受訪時「神回答」：你當自己係中國人定美國人？,20240823,6,132.7,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
8sDvUH7x4iw,【廣東話講呢啲】 賣仔莫摸頭，摸親眼淚流 - 典故？,20220826,9,99.68,0,0,0,0,0,1,,,,,,
8wflrDLxY84,【一個忘年冤孽愛情故事】何伯河馬式「天長地久、曾經擁有」,20240918,3,41.82,0,0,0,0,0,1,,,,,,
8x5JiKy8RFY,YS2b 《耐人寻味》,20211231,17,150.59,0,0,0,0,0,1,,,,,,
8xIvuJoS5Pg,「好客之道」古天樂以過來人身分同你講「今時今日，做人之道」,20240812,5,67.29,0,0,0,0,0,1,,,,,,
9GKnaIpqSRA,【石堅證實李小龍「冇時停」】係芳艷芬先治到佢企定定！,20250119,14,136.13,0,0,0,1,1,0,,,,李小龍|芳艷芬|石堅,李小龍|芳艷芬|石堅,film_clip:李小龍|芳艷芬|石堅
9T8KWGl2ZZQ,【有一種魅力叫「鍾玲玲」】點止「正」咁簡單！,20251202,2,4.83,0,0,0,0,0,1,,,,,,
9oz0BewUmo4,【詞窮】填來填去四個字，物轉星飛亂交替；沒有物轉星飛，只有物換星移...,20220810,25,374.37,0,0,0,0,0,1,,,,,,
9saz0VPG-To,【諸事八卦】斷估；斷估冇痛苦,20220131,5,49.98,0,0,0,0,0,1,,,,,,
AOgZUuWbLoE,【黎愛蓮 Irene Ryder 盡顯唱功 -你不用說你愛我】《You don't have to say you love me》,20250614,6,102.06,0,0,0,0,0,1,,,,,,
AP22Vghq_58,【十下十下(7)】10個香港人「老母」嘅叫法(你識幾多個？你叫邊幾個？),20240613,7,29.73,0,0,0,0,0,1,,,,,,
AYmhFCZIO0w,【東方差利卓別靈鄭君綿《賭仔自嘆》】由差利卓別靈唱呢支歌仔就最盞鬼嘞！,20240928,6,121.54,0,0,0,0,0,1,,,,,,
A_iOhZBEuPQ,【詩經《國風．關雎》】窈窕淑女，君子好逑；求之不得，輾轉反側,20250916,5,37.7,0,0,0,0,0,1,,,,,,
Ac1e1ibIHpk,【北國傳來飄雪情，心繫香港共溫馨】飄雪-花咲〈旅路,20221224,4,68.54,0,0,0,0,0,1,,,,,,
AiKOYN8H1EU,【雞碎；雞忘記】雞碎咁多都要啄，許冠傑就係咁唱；雞碎咁多有幾多，雞忘記又搞邊科,20221019,14,201.34,0,0,0,0,0,1,,,,,,
AmHA9dbYFy0,【芳芳修哥相約 Disco】修哥芳芳繼續跳，豐盛人生 keep 住潮,20260104,5,17.73,0,0,0,0,0,1,,,,,,
BHn7eeA0BVo,【顧嘉「輝」定顧嘉「煇」？】講落有段古,20230108,6,102.4,0,0,0,0,0,1,,,,,,
BKWMXVpYcP4,舞青龍賀青衣天后誕實況,20240510,4,57.94,0,0,0,0,0,1,,,,,,
BQysXN0mc0g,【粵語朗讀】《生查子•元夕》宋 歐陽修；附譯文、評析；應景！,20220215,5,100.42,0,0,1,0,0,0,,,朗讀,,,recitation:朗讀
BUL3p_uvehs,【曾志偉捲入賣假香港月餅風波】不在乎你袋幾多，只在乎咪當我傻,20240917,2,37.22,0,0,0,0,0,1,,,,,,
BWbT_CqORko,【微笑劍后江旻憓宣布退役】告別體壇終有日，忘卻天地得與失,20240804,5,96.58,0,0,0,0,0,1,,,,,,
BZ4zd3idtVY,【李小龍「型人型車」】連攞個車牌都有心思過人！,20251228,6,78.52,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
BgtPMo7NmOs,北上尋歡：航拍盡現好風光，無怪香港變空港,20240403,4,32.96,0,0,0,0,0,1,,,,,,
Bwm3SWdYJnQ,【國粵語片時代兩大尤物葛蘭、林鳳表演「Flamenco佛蘭明高舞」】林鳳嬌柔，葛蘭狂野；情緒帶動，舞式即興,20241028,4,43.74,0,0,0,1,1,0,,,,林鳳|粵語片,林鳳,film_clip:林鳳|粵語片
CHlnwI3VY6E,【林鳳唱跳《狂歌熱舞1966》】人靚歌甜有氣質，唱得跳得仲打得；由頭靚到腳趾公，歌舞女王把佢封,20241013,10,122.82,0,0,0,1,1,0,,,,林鳳,林鳳,film_clip:林鳳
CMRF9UwRKpY,【李小龍同細佬李振輝-全港cha cha邀請賽冠軍(1958)】睇下呢對騎呢舞伴跳成點？,20250913,7,50.66,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
CdhQt9XM4G0,Bruce Lee’s “Formless Way” is just like that!李小龍「無形之道」就係咁樣！,20251125,5,98.46,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
CfZWjk-lBJs,【鍾玲玲主唱麗的《電視人77》主題曲】在我你的人生史，曾遇甜蜜痛苦事；不知此刻在扮誰，是我你的醒與醉,20260301,13,197.9,0,1,0,0,0,0,,主題曲|主唱,,,,song:主題曲|主唱
ChuWKGky328,【人間有情，天地有義】疫情派飯老人家，無名善長真堪誇,20221008,12,85.98,0,0,0,0,0,1,,,,,,
Clf5BfnM9Jw,【睇林鄭學廣東話】再唔打針去「飛髮」就係「非法」！有冇諗過點解「剪髮」叫「飛髮」？,20220222,9,117.12,0,0,0,0,0,1,,,,,,
D4tcSVKiT5s,【智慧老人楚原同你「解愁」】我問秋風何時愁，秋風笑我何事憂；不過人生一過客，何苦傷春又悲秋,20251012,2,32.03,0,0,0,0,0,1,,,,,,
DJBEpeA9Vrw,薰妮《每當變幻時》；懷緬過去常陶醉；沒有懷緬過去，只有緬懷過去,20220810,23,303.9,0,0,0,0,0,1,,,,,,
DKWM_Jesc2E,【AI將童謠變成真】大笨象，揸支槍，去打仗；打唔贏，返嚟食碗辣椒醬,20250911,3,31.81,0,0,0,0,0,1,,,,,,
DS1XikAPAvI,【唔怕生壞命，最怕改壞名】老豆你叫「井淼」，我井莉個仔改「鑫淼」，係咪好得呢?,20220801,16,99.26,0,0,0,0,0,1,,,,,,
DUsvDjI7DQY,【God save the Queen事頭婆傳頌版】《處處都望見花》英國駐香港總領事館弔唁英女皇 14-9-2022,20220914,4,11.81,0,0,0,0,0,1,,,,,,
DXevfNOda1Y,【孤星血淚1955】8歲嘅蕭芳芳點解吸引到15歲嘅李小龍？,20250707,9,71.54,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
DcQSQOjoUvs,【「三毫子小姐」森森軼事】李小龍想栽培森森做「打女」？,20251223,11,163.1,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
DlTr0cIV3pI,【諸事八卦】Covid 點「收科」？將會成為風土病！英文會唔會係 Wind-Earth Disease?,20220220,11,79.65,0,0,0,0,0,1,,,,,,
Dx2wTJvIagk,【振奮人心解防措，早就應該咁樣做】好了傷疤忘了痛！,20221229,7,71.52,0,0,0,0,0,1,,,,,,
DxIZchf4AhY,【第 1 代天氣女郎】鍾玲玲家姐鍾曉薇、才女林燕妮、女強人周梁淑怡,20260112,12,153.47,0,0,0,0,0,1,,,,,,
E38mAVkj75o,仙杜拉響《啼笑因緣》首歌度教你矯正「懶音」,20240428,10,101.59,0,0,0,0,0,1,,,,,,
E9t_dwH76xA,【廖孖記加工腐乳】違反《商品說明條例》？,20240722,6,82.65,0,0,0,0,0,1,,,,,,
E_-8NpZvgX8,【修哥60大壽(1992)】胡楓六十歲大壽，芳芳助興冇得走；事隔多年再共舞，人生至此復何求,20250505,3,17.88,0,0,0,0,0,1,,,,,,
EeylsOcnkV0,【劉德華式-天長地久，曾經擁有】天涯地角有窮時，只有相思無盡處；愛之深，分更痛！,20251008,2,28.22,0,0,0,0,0,1,,,,,,
EjuEqBFmEec,李小龍同苗可秀1972年嘅《羅馬假期》,20251207,7,90.66,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
EmrhZY6LBz8,【《個個揸住個兜》】賭仔自嘆版Vs周星馳賭仔自嘆,20220922,4,33.47,0,0,0,0,0,1,,,,,,
EsZChyzmWBk,【日本首相左騰右騰/日本首相左揗右揗】邊個啱定兩個都錯?,20220709,11,103.33,0,0,0,0,0,1,,,,,,
F38e7ixY4a4,林黛響《千嬌百媚1961》度大跳「肯肯舞 cancan」,20250516,7,114.87,0,0,0,1,0,0,,,,林黛,,film_clip:林黛
F8HqdV6ZH6M,李小龍在「遺失的訪談1971」中首度公開評價「太極拳」,20230804,7,140.83,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
FQbcVgnA-Iw,【張衞健齊天大聖vs張衞健孫悟空】香港史上最玩嘢《一日一蘋果》,20240818,4,45.54,0,0,0,0,0,1,,,,,,
G1CmViCBoyE,YS8b 《朱门怨》,20220115,4,50.69,0,0,0,0,0,1,,,,,,
G4HXoD0Za0U,【廣東話講呢啲】劏豬凳 - 伍姑娘係「劏豬凳」？一上就死/上嚫就死！,20220413,22,273.63,0,0,0,0,0,1,,,,,,
GEIQJZJwm1k,【懷念周驄】九十二駕鶴西歸，光影藝悉數留低,20250705,11,193.38,0,0,0,0,0,1,,,,,,
GFVh0R4C_Bw,【永遠懷念鄭佩佩】鄭佩佩18-25歲的青蔥歲月,20240722,6,63.83,0,0,0,0,0,1,,,,,,
GMkEvBXdQvQ,YS1c2 《粉絲經》 誦讀版,20220112,7,92.16,0,0,1,0,0,0,,,誦讀,,,recitation:誦讀
GQvPGbh4Wcs,YS4a 《洪門宴》,20220112,6,66.98,0,0,0,0,0,1,,,,,,
GVMVx2z4_2w,【林鳳自創呼拉圈舞】搖呼拉圈嚟健身，當年林鳳第一人；絕技被搬上銀幕，渾身解數添視覺,20260306,3,32.61,0,0,0,1,1,0,,,,林鳳|銀幕,林鳳,film_clip:林鳳|銀幕
GjammNDiAvI,【聞一多《也許-葬歌》】也許你真是哭太累；也許，也許你要睡一睡,20250914,5,83.48,0,0,0,0,0,1,,,,,,
Gv-5FWKl3Is,【AI時代畢業哀歌-懷疑人生】由楚原「穿越時空」演繹如來佛祖「指點迷津」,20250720,5,84.34,0,0,0,0,0,1,,,,,,
GyF3MkvI5_Q,【悼念家駒詩文】《也許你裝著睡一睡》聞一多《也許》版；世上縱有千萬曲，少了家駒曲不足,20220630,18,92.06,0,0,0,0,0,1,,,,,,
H76OGYLhQ3k,【李龍基王青霞鬧劇】佢去踎監你留低，繼續登台唱過世,20240310,6,71.74,0,0,0,1,0,0,,,,李龍基|王青霞,,film_clip:李龍基|王青霞
H8P8xQmhwNc,【李小龍舊日的足跡】海運大廈天台停車場1972,20230726,3,45.14,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
HWBsd3FAzc0,《莊子「魚之樂」番外篇》：你唔係我，點知我唔happy？,20240501,9,194.59,0,0,0,0,0,1,,,,,,
HaFoIJ9r5BA,【祝賀江旻憓勇奪香港史上第3金】微笑劍后名永留，功在當代利千秋,20240728,7,93.5,0,0,0,0,0,1,,,,,,
HudUFSsgtdY,由「阿倫狄龍」同「李小龍」兩位龍哥示範French Kiss「法式接吻」,20240822,6,73.41,0,0,0,1,1,0,,,,李小龍,李小龍,film_clip:李小龍
HvzKA_f6270,【緬懷一代賭王何鴻燊】心中賭王只一個，從此告別我燊哥,20220523,12,127.36,0,0,0,0,0,1,,,,,,
I25mx9obTao,《美斯訪日：表現分明大細超，講落唔嬲就瓦燒》,20240207,5,50.58,0,0,0,0,0,1,,,,,,
I4PruxwTvMI,【「陳」的正體字與異體字】究竟有鈎定冇鈎，歷代狐疑現解構,20221221,9,265.89,0,0,0,0,0,1,,,,,,
